category,name,actor,year
开场,赵忠祥致开幕辞主持人介绍到场嘉宾相声大师侯宝林讲话 主持人向全国人民拜年,,1983
歌曲,《拜年歌》,李谷一,1983
相声,《山村小景》《小小雷锋》《说一不二》,马季、赵炎,1983
诗朗诵,《每逢佳节倍思亲》,林丽芳,1983
黄梅戏,《夫妻双双把家还》,索宝立、牟玄甫,1983
歌曲,《竹林沙沙响》,索宝立、牟玄甫,1983
歌伴舞,《草原民歌》,斯琴高娃、胡松华,1983
歌曲,《勤劳的比帕尔》《马铃响，玉鸟唱》,胡松华,1983
小品,《逛厂甸》,斯琴高娃、严顺开,1983
舞蹈,《节日》,赵青、徐川,1983
猜谜,（2）“年终算总帐”（打一句唐诗）,,1983
喜剧小品,《吃鸡》,王景愚、姜昆,1983
京剧表演,,尹宏伟[2],1983
京剧,《坐寨盗马》,袁世海,1983
相声,《错走了这一步》《对口词》《战士之歌》,姜昆、李文华,1983
猜谜,（3）“制定人口政策”（打一成语）,,1983
魔术表演,《彩扇争艳》,姚金芬,1983
杂技表演,,上海杂技团,1983
相声,,侯耀文、石富宽,1983
京剧,《空城计》,马长礼,1983
歌曲,《牧羊曲》《大海啊，故乡》《太阳岛上》,郑绪岚,1983
京剧,《霸王别姬》,李维康,1983
录像,电影《火烧圆明园》花絮电影《垂帘听政》片段,,1983
歌曲,《红花》《盼红军》,刘晓庆,1983
喜剧小品,《弹钢琴》,严顺开,1983
猜谜,（4）“镜子里面照着人”（打一字）,,1983
喜剧小品,《阿Q的独白》,严顺开,1983
相声录像,《戏剧杂谈》,侯宝林、郭全宝,1983
猜谜,（5）“晚会”（打一字）,,1983
歌曲联唱,《春之歌》《问声祖国好》《一根竹竿》《年轻的朋友》《知音》《乡恋》,李谷一,1983
歌曲对唱,《刘三姐》,李谷一、袁世海、姜昆,1983
京剧对唱,《牛皋招亲》,李谷一、袁世海,1983
武术表演,,葛春燕、郝志华、王杰、李霞、王建军、于绍文,1983
魔术表演,《吉庆有余》,姚金芬、秦明晓,1983
拜年歌,《恭贺新禧》,蒋大为、李谷一、于淑珍、苏平、沈小岑、朱明瑛、茅善玉、郭颂,1984
杂技,《转盘子》,李春来,1984
游戏竞赛,《看谁贴得快》,幼儿园小朋友,1984
儿童节目,狗熊猴子投篮比赛,姜昆、李文华,1984
相声,《宇宙牌香烟》,马季,1984
杂技,《伞衣帽》,李春来,1984
歌曲,《幸福在哪里》《党啊，亲爱的妈妈》,殷秀梅,1984
歌曲,《甜透了咱心窝》《串门》《山水醉了咱赫哲人》,郭颂,1984
歌曲,《请到天涯海角来》《妈妈教我一支歌》,沈小岑,1984
河南豫剧,《迎春曲》,牛得草,1984
哑剧小品,《淋浴》,游本昌,1984
粤剧,《故乡行》《南海渔歌》,丁凡、林锦屏,1984
京剧,《定军山》,谭元寿,1984
京剧,《将相和》,方荣翔,1984
小品,《吃面条》,陈佩斯、朱时茂,1984
黄梅戏,《女驸马》,马兰,1984
哑剧小品,《电视纠纷》,王景愚、李辉,1984
歌曲,《莫愁啊，莫愁》《大海啊，故乡》《回娘家》,朱明瑛,1984
歌曲,《滦水香茶献亲人》《我们的生活充满阳光》《月光照着太湖水》,于淑珍,1984
歌曲,《花儿为什么这样红》《天女散花》《阿里山姑娘》,奚秀兰,1984
评书,《赠羽扇》,袁阔成,1984
比赛,乒乓球比赛,李富荣、张燮林（解说：宋世雄）,1984
越剧,《慧梅》选段,王文娟,1984
游戏,金银猜,现场观众、黄阿原、姜昆,1984
相声小段,《春联》,马季、赵炎,1984
合唱,《辞旧迎新歌》,蒋大为、李谷一等8人,1984
歌曲,《萨拉族花儿“大眼睛”》《妹妹的山丹丹花儿开》,苏平,1984
沪剧,《燕燕做媒》《太湖美》,茅善玉,1984
歌曲,《我的中国心》《垅上行》《外婆的澎湖湾》《乡间的小路》,张明敏,1984
杂技气功表演,①《砸核桃》②《踩鸡蛋》③《撅铁柱》,侯伟(6岁)侯春雪(16岁)侯树英（54岁）,1984
歌曲,《友情》《默默地祝福你》《天黑黑》,黄植诚、李大维、黄阿原,1984
独唱,《三笑》插曲,陈思思（香港）,1984
相声,《夸家乡》,姜昆、李文华,1984
歌曲,《要问我们想什么》《战士与梅花》,蒋大为,1984
歌曲,《跳吧，年轻的伙伴》《那就是我》,李谷一,1984
花鼓戏,《刘海砍樵》,李谷一、姜昆,1984
主题歌曲,《难忘今宵》,李谷一,1984
京戏,《百猴迎春》,中国京剧院,1985
器乐演奏,《编钟乐曲》,湖北省歌舞团,1985
歌曲,《南乡子》,李元华,1985
歌曲,《万里长城永不倒》,吕念祖,1985
歌曲,《共享快乐年》《在我生命里》《中国梦》,罗文,1985
歌曲,《新春我们干一杯》《祖国慈祥的母亲》,张建一,1985
