category,content,year,辅助
导演,黄一鹤、邓在军,1983,一
主持,王景愚、刘晓庆、姜昆、马季,1983,二
主演,参见节目单,1983,三
制作国家／地区,中国大陆,1983,四
语言,普通话,1983,五
播映,,1983,六
首播频道,中国中央电视台,1983,日
播出国家／地区,中国大陆,1983,一
播出日期,1983年2月12日－,1983,二
相关节目,,1983,三
续作,1984年中国中央电视台春节联欢晚会,1983,四
外部链接,,1983,五
官方网站,,1983,六
类型,贺岁节目,1984,日
导演,黄一鹤、张淑芬,1984,一
主持,赵忠祥、卢静、姜昆、黄阿原、姜黎黎、陈思思,1984,二
主演,参见节目单,1984,三
制作国家／地区,中国大陆,1984,四
语言,普通话,1984,五
播映,,1984,六
首播频道,中国中央电视台,1984,日
播出国家／地区,中国大陆,1984,一
播出日期,1984年2月1日－,1984,二
相关节目,,1984,三
续作,1985年中国中央电视台春节联欢晚会,1984,四
外部链接,,1984,五
官方网站,,1984,六
类型,贺岁节目,1985,日
导演,黄一鹤,1985,一
主持,马季、姜昆、张喻、朱苑宜、斑斑,1985,二
主演,节目单,1985,三
制作国家／地区,中国大陆,1985,四
语言,普通话,1985,五
播映,,1985,六
首播频道,中国中央电视台第一套节目（现综合频道）,1985,日
播出国家／地区,中国大陆,1985,一
播出日期,1985年2月19日20:00－1985年2月20日凌晨,1985,二
相关节目,,1985,三
续作,1986年中国中央电视台春节联欢晚会,1985,四
外部链接,,1985,五
官方网站,,1985,六
类型,贺岁节目,1986,日
导演,黄一鹤,1986,一
主持,赵忠祥、王刚、姜昆、刘晓庆、方舒（英语）、顾永菲[1][2],1986,二
主演,节目单,1986,三
制作国家／地区,中国大陆,1986,四
语言,普通话,1986,五
播映,,1986,六
首播频道,中国中央电视台一套（现综合频道）,1986,日
播出国家／地区,中国大陆,1986,一
播出日期,1986年2月8日20:00－1986年2月9日凌晨,1986,二
相关节目,,1986,三
续作,1987年中国中央电视台春节联欢晚会,1986,四
外部链接,,1986,五
官方网站,,1986,六
类型,贺岁节目,1987,日
导演,邓在军,1987,一
主持,李默然、王刚、李小玢、姜昆[1],1987,二
主演,节目单,1987,三
制作国家／地区,中国大陆,1987,四
语言,普通话,1987,五
制作,,1987,六
拍摄地点,中央广播电视总台总部大楼,1987,日
播映,,1987,一
首播频道,中国中央电视台一套（现综合频道）,1987,二
播出国家／地区,中国大陆,1987,三
播出日期,1987年1月28日20:00－1987年1月29日00:03,1987,四
相关节目,,1987,五
续作,1988年中国中央电视台春节联欢晚会,1987,六
外部链接,,1987,日
官方网站,,1987,一
类型,贺岁节目,1988,二
导演,邓在军,1988,三
主持,孙道临、王刚、姜昆、侯耀文、薛飞、卫华[1],1988,四
主演,节目单,1988,五
制作国家／地区,中国大陆,1988,六
语言,普通话,1988,日
播映,,1988,一
首播频道,中国中央电视台一套（现综合频道）,1988,二
播出国家／地区,中国大陆,1988,三
播出日期,1988年2月16日19:45－1988年2月17日00:45,1988,四
相关节目,,1988,五
续作,1989年中国中央电视台春节联欢晚会,1988,六
外部链接,,1988,日
官方网站,,1988,一
类型,贺岁节目,1989,二
导演,赵安、张晓海,1989,三
主持,李默然、赵忠祥、姜昆、阚丽君、李扬[1],1989,四
主演,节目单,1989,五
制作国家／地区,中国大陆,1989,六
语言,普通话,1989,日
播映,,1989,一
首播频道,中国中央电视台一套（现综合频道）,1989,二
播出国家／地区,中国大陆,1989,三
播出日期,1989年2月5日20:00－1989年2月6日凌晨,1989,四
相关节目,,1989,五
续作,1990年中国中央电视台春节联欢晚会,1989,六
外部链接,,1989,日
官方网站,,1989,一
类型,贺岁节目,1990,二
导演,黄一鹤,1990,三
主持,赵忠祥[1],1990,四
主演,节目单,1990,五
制作国家／地区,中国大陆,1990,六
语言,普通话,1990,日
播映,,1990,一
首播频道,中国中央电视台一套（现综合频道）,1990,二
播出国家／地区,中国大陆,1990,三
播出日期,1990年1月26日20:00－1990年1月27日凌晨,1990,四
相关节目,,1990,五
续作,1991年中国中央电视台春节联欢晚会,1990,六
外部链接,,1990,日
官方网站,,1990,一
类型,贺岁节目,1991,二
导演,郎昆、胡淼、杨东升、刘铁民、江则理,1991,三
主持,赵忠祥、倪萍、张宏民、李瑞英[1]、阚丽君,1991,四
主演,节目单,1991,五
制作国家／地区,中国大陆,1991,六
语言,普通话,1991,日
