rank,university,category,province,985,211,2017,2015,2013
1,清华大学,理工,北京,1,1,9065,10969,12614
2,北京大学,综合,北京,1,1,9042,11212,13790
3,北京外国语大学,语言,北京,0,1,9020,10464,12242
4,上海交通大学,综合,上海,1,1,9010,10542,12861
5,对外经济贸易大学,财经,北京,0,1,8998,10617,12316
6,外交学院,语言,北京,0,0,8956,11016,12669
7,复旦大学,综合,上海,1,1,8842,11052,13594
8,浙江大学,综合,浙江,1,1,8810,10308,12369
9,同济大学,理工,上海,1,1,8784,10893,13616
10,中央财经大学,财经,北京,0,1,8771,10086,11902
11,上海外国语大学,语言,上海,0,1,8746,10758,12587
12,中国人民大学,综合,北京,1,1,8737,10659,12258
13,上海财经大学,财经,上海,0,1,8705,10184,11814
14,国际关系学院,政法,北京,0,0,8669,10836,12786
15,华南理工大学,理工,广东,1,1,8660,10132,12563
16,北京航空航天大学,理工,北京,1,1,8629,10096,11813
17,中国科学技术大学,理工,安徽,1,1,8620,10258,11899
18,中山大学,综合,广东,1,1,8620,10086,12607
19,北京邮电大学,理工,北京,0,1,8534,10497,12281
20,上海对外经贸大学,财经,上海,0,0,8500,10370,12755
21,东华大学,理工,上海,0,1,8485,9758,11710
22,南京大学,综合,江苏,1,1,8462,10154,12693
23,华东师范大学,师范,上海,1,1,8448,9969,11464
24,广东外语外贸大学,语言,广东,0,0,8434,10542,12229
25,上海理工大学,理工,上海,0,0,8423,10275,12125
26,北京理工大学,理工,北京,1,1,8416,10267,11910
27,北京电影学院,艺术,北京,0,0,8399,10415,12081
28,西安交通大学,综合,陕西,1,1,8392,9987,11884
29,华东政法大学,政法,上海,0,0,8364,9702,11255
30,厦门大学,综合,福建,1,1,8356,9777,11243
31,中央美术学院,艺术,北京,0,0,8355,10110,11727
32,北京交通大学,理工,北京,0,1,8353,10274,12329
33,东南大学,综合,江苏,1,1,8316,10228,11865
34,暨南大学,综合,广东,0,1,8283,9940,12226
35,北京大学医学部,综合,北京,0,0,8253,9491,11674
36,上海大学,综合,上海,0,1,8235,9470,11269
37,北京化工大学,理工,北京,0,1,8147,9614,11152
38,深圳大学,综合,广东,0,0,8131,9595,11610
39,北京信息柊技大学,理工,北京,0,0,8105,9644,11477
40,哈尔滨工业大学,理工,黑龙江,1,1,8051,9258,10832
41,华东理工大学,理工,上海,0,1,8038,9565,11287
42,北京工业大学,理工,北京,0,1,8014,9376,11157
43,中国传媒大学,语言,北京,0,1,7976,9253,11288
44,北京科技大学,理工,北京,0,1,7957,9390,11174
45,南开大学,综合,天津,1,1,7953,9862,11932
46,中央戏剧学院,艺术,北京,0,0,7944,9374,10967
47,大连理工大学,理工,辽宁,1,1,7919,9424,10837
48,上海工程技术大学,理工,上海,0,0,7876,9373,11622
49,天津大学,理工,天津,1,1,7854,9268,10658
50,西安电子科技大学,理工,陕西,0,1,7851,9342,11397
51,哈尔滨工程大学,理工,黑龙江,0,1,7780,9414,11579
52,上海电力学院,理工,上海,0,0,7763,9160,11084
53,上海第二工业大学,理工,上海,0,0,7714,9256,11570
54,华北电力大学（北京）,理工,北京,0,0,7694,8849,10176
55,上海海事大字,理工,上海,0,0,7689,9073,10615
56,电子科技大学,理工,四川,1,1,7673,9208,11325
57,北京工商大学,财经,北京,0,0,7636,9316,11179
58,首都经济贸易大学,财经,北京,0,0,7573,8936,10902
59,广州美术学院,艺术,广东,0,0,7528,9184,10837
60,大连海事大学,理工,辽宁,0,1,7494,8918,10613
61,北京师范大学,师范,北京,1,1,7466,8586,10218
62,中南大学,综合,湖南,1,1,7418,8679,10675
63,汕头大学,综合,广东,0,0,7412,8672,10320
64,华中科技大学,理工,湖北,1,1,7401,8955,10926
65,北京第二外国语学院,语言,北京,0,0,7365,8691,10342
66,中国矿业大学（北京）,理工,北京,0,1,7356,8975,11128
67,中国青年政治学院,政法,北京,0,0,7348,8965,10758
68,上海师范大学,师范,上海,0,0,7331,9091,10727
69,上海中医药大学,医药,上海,0,0,7254,8777,10708
70,南京邮电大学,理工,江苏,0,0,7230,8966,10848
71,北方IDlk大学,理工,北京,0,0,7229,8531,9895
72,中国地质大学（北京）,理工,北京,0,1,7228,8601,10494
73,北京服装学院,理工,北京,0,0,7188,8625,10178
74,南京肮空航天大学,理工,江苏,0,1,7164,8239,9722
75,浙江财经大学,财经,浙江,0,0,7101,8379,9888
76,中国美术学院,艺术,浙江,0,0,7075,8207,9685
77,中国农业大学,农林,北京,1,1,7033,8509,10467
78,西北工业大学,理工,陕西,1,1,6879,8048,9738
79,中国民航大学,理工,天津,0,0,6755,8174,9808
80,上海戏剧学院,艺术,上海,0,0,6718,7726,9039
81,北京建筑大学,理工,北京,0,0,6712,8189,9663
82,南京理工大学,理工,江苏,0,1,6679,7948,9537
83,吉林大学,综合,吉林,1,1,6678,8013,9696
84,重庆大学,综合,重庆,1,1,6606,7993,9272
85,河北建筑工程学院,理工,河北,0,0,6589,7775,9174
86,上海应用技术学院,理工,上海,0,0,6569,7620,9448
87,湖南大学,综合,湖南,1,1,6562,7612,9134
88,北京物资学院,财经,北京,0,0,6508,7549,8833
89,中国石油大学,理工,山东,0,0,6508,7809,9059
90,武汉大学,综合,湖北,1,1,6502,8063,9998
91,江西财经大学,财经,江西,0,0,6429,7522,8801
92,广西大学,综合,广西,0,1,6417,7508,9159
93,中国政法大学,政法,北京,0,1,6408,7561,8998
94,青岛大学,综合,山东,0,0,6380,7592,9338
95,上海海洋大字,农林,上海,0,0,6264,7830,9788
96,北京语言大学,语言,北京,0,0,6262,7389,8645
97,北京林业大学,农林,北京,0,1,6243,7429,9212
98,北京印刷学院,理工,北京,0,0,6240,7613,8832
99,天津工业大学,理工,天津,0,0,6200,7564,8850
100,南京艺术学院,艺术,江苏,0,0,6167,7278,8515
101,江苏大学,综合,江苏,0,0,6164,7643,8790
102,武汉科技大学,理工,湖北,0,0,6148,7685,9146
103,西南财经大学,财经,四川,0,1,6133,7420,8905
104,山西大学,综合,山西,0,0,6115,7399,8730
105,扬州大学,综合,江苏,0,0,6090,7369,8843
106,杭州电子柊技大学,理工,浙江,0,0,5916,6921,8583
107,浙江理工大学,理工,浙江,0,0,5892,7365,8617
108,中央民族大学,语言,北京,1,1,5881,7116,8681
109,合肥工业大学,理工,安徽,0,1,5853,7140,8783
110,江南大学,综合,江苏,0,1,5818,6865,8307
