cat_name,com_id,com_logo_archive,com_name,com_prov,com_scope_id,current	,invse_currency_id,invse_day,invse_detail_money,invse_guess_particulars,invse_month,invse_round_id,invse_year,round
金融,18092,900637e42dec75cc7d660470795c07bd.png,蚂蚁金服,浙江,12,,1,23,160000,9600.00,6,11,2018,战略投资
企业服务,24348,116bef02d9859fbf02b0a13e06096a1c.png,阿里云,浙江,126,,1,29,600000,4220.00,7,11,2015,战略投资
汽车交通,157,8d0550e3f18bcd84402087a98210741b.png,滴滴出行,北京,28,,2,17,50000,3900.00,7,11,2018,战略投资
金融,16470,2b4263b060d94abd4fb8cb1fa485a715.png,陆金所,上海,12,,2,8,121600,3900.00,1,3,2016,B轮
文化娱乐,2031,archive/2031.png,今日头条,北京,115,,2,22,--,2275.00,9,6,2017,E轮
文化娱乐,32638447,9eb9adef66bfcdeb51377abe152d6218.png,腾讯音乐娱乐集团,北京,115,,2,18,--,1625.00,1,11,2018,战略投资
硬件,10886,16b6620131d592eecd427be7b8acb431.png,大疆无人机,广东,103,,2,6,7500,1430.00,5,4,2015,C轮
金融,27142,a692cd2aca67a6acaa487f9be0060cf3.png,京东数科,北京,12,,1,12,1300000,1330.00,7,3,2018,B轮
文化娱乐,519,e23167abf44a656e5560d42de198a090.png,快手,北京,115,,2,21,40000,1300.00,4,6,2018,E轮
物流,33165,c93b7f4f0b8e4ea83cea7da6f9b2fac7.png,菜鸟网络,浙江,211,,1,26,530000,1300.00,9,11,2017,战略投资
金融,55383,9785930e3f7de688880b98db8d41c647.png,比特大陆,北京,12,,2,7,44200,975.00,8,16,2018,B+轮
物流,32620864,c02a562ea229956373379359376896b4.png,京东物流,北京,211,,2,14,250000,871.00,2,2,2018,A轮
本地生活,29634,2f9decbf56045b7c76245e1451f84e0d.png,口碑,浙江,70,,2,24,110000,585.00,1,11,2017,战略投资
金融,23029,d84b95f8d479e1540017b5863218f146.jpg,借贷宝,北京,12,,1,26,250000,500.00,1,2,2016,A轮
房产服务,17422,371dc53fd04bb674b7ffc484ed2daada.jpg,链家网,北京,38,,1,20,--,500.00,11,11,2017,战略投资
汽车交通,5241,13e05a294e3132d393ebc4a584f9f122.jpg,车好多集团,北京,28,,2,16,16200,429.00,10,19,2018,C+轮
物流,32755239,53c54b1dee1261a780a4399f83a3903c.png,满帮集团,江苏,211,,2,24,190000,390.00,4,7,2018,F轮-上市前
企业服务,14937,fbb48ce5fd1a5e01679258a624caac9d.jpg,商汤科技SenseTime,北京,126,,2,10,100000,390.00,9,5,2018,D轮
医疗健康,1606,archive/1606.png,微医,浙江,47,,2,9,50000,357.50,5,7,2018,F轮-上市前
金融,16575,530422542495801a123f4967090d7c60.png,微众银行,广东,12,,2,28,45000,357.50,1,2,2016,A轮
工具软件,10160,archive/10160.png,WiFi万能钥匙,上海,161,,2,1,40000,338.00,12,4,2017,C轮
医疗健康,167410,1498de1dd36dcd7abb41db9b5150cee8.png,联影医疗,上海,47,,1,15,333300,333.50,9,2,2017,A轮
硬件,17975,b4c36bacc9c20e94b06927b0b61a3aa0.jpg,优必选科技,广东,103,,2,3,82000,325.00,5,4,2018,C轮
企业服务,32785726,72fd13eb8aa23ed97c865ad02a8dd32c.png,WeWork China,上海,126,,2,27,50000,325.00,7,3,2018,B轮
