,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
0,300135,宝利国际,化工原料,江苏,53.4,9.22,9.22,325785.97,224714.47,78882.56,3525.6,0.04,0.027000000000000003,1.33,2.19,20101026,22610.8,0.25,9.58,22.56,13.73,3.49,54283.0
1,300071,华谊嘉信,广告包装,北京,32.25,4.17,6.78,320091.91,178485.22,3384.68,1464.21,0.02,0.057,1.36,2.72,20100421,16419.13,0.24,-2.41,5.96,19.89,2.63,28359.0
2,002554,惠博普,石油开采,北京,33.89,7.69,10.71,484821.09,263120.09,45760.35,51916.34,0.48,0.06,2.05,1.81,20110225,67778.59,0.63,-10.78,2.11,23.37,7.68,68712.0
3,002418,康盛股份,机械基件,浙江,0.0,10.04,11.36,984316.38,485889.19,86833.81,37896.03,0.33,-0.006,1.94,1.74,20100601,62790.5,0.55,4.18,-109.3,11.09,-0.43,35184.0
4,600165,新日恒力,钢加工,宁夏,0.0,6.85,6.85,222543.66,143317.05,16254.2,33692.09,0.49,-0.006,1.25,3.57,19980529,-19504.74,-0.28,-40.53,65.02,7.07,-1.26,15340.0
5,000793,华闻传媒,出版业,海南,46.82,19.21,20.01,1660739.88,554102.69,58406.85,378051.28,1.89,0.040999999999999995,4.93,0.78,19970729,368812.59,1.84,-2.47,-77.23,27.87,5.7,86073.0
6,002143,印纪传媒,影视音像,四川,174.1,9.74,17.7,445659.06,404362.06,226.6,-1626.99,-0.01,0.012,1.64,2.6,20070720,273401.13,1.54,-49.36,-91.89,51.05,5.56,19886.0
7,000498,山东路桥,建筑施工,山东,17.74,4.41,11.2,1926262.38,1481400.0,63176.86,-55383.69,-0.49,0.12,3.66,1.17,19970609,257786.47,2.3,32.11,-47.93,6.96,2.41,51171.0
8,002628,成都路桥,建筑施工,四川,206.18,7.25,7.37,530104.31,369589.63,4279.03,83869.86,1.14,0.015,3.64,1.72,20111103,93105.06,1.26,56.63,-23.36,0.24,1.04,29075.0
9,000576,广东甘化,造纸,广东,0.0,4.36,4.43,104388.8,72859.13,4390.37,84243.13,1.9,-0.084,2.21,2.92,19940907,-35633.01,-0.8,-60.46,-84.48,2.06,-23.42,30347.0
10,603085,天成自控,汽车配件,浙江,52.77,0.79,2.24,162141.06,94974.96,40398.73,51360.59,2.29,0.134,4.42,3.2,20150630,22536.46,1.01,42.85,7.71,26.88,7.39,6776.0
11,002219,恒康医疗,中成药,甘肃,46.68,18.65,18.65,1004764.88,319343.19,203795.13,108219.77,0.58,0.039,2.28,1.59,20080306,118436.72,0.63,67.86,-56.3,31.11,3.88,24831.0
12,601068,中铝国际,建筑施工,北京,51.1,2.96,29.59,4539973.0,3683219.5,219201.34,17406.48,0.06,0.078,2.82,2.85,20180831,424189.41,1.43,0.0,0.0,9.12,1.64,0.0
13,600687,刚泰控股,黄金,甘肃,30.23,10.79,14.89,1316137.38,1061221.5,51316.81,290196.34,1.95,0.073,4.13,1.06,19931108,167376.27,1.12,36.27,-57.5,9.88,2.0,27356.0
14,002072,凯瑞德,互联网,山东,0.0,1.69,1.76,69260.5,48252.48,214.73,19168.22,1.09,-0.055999999999999994,0.29,31.08,20061018,-35496.9,-2.02,2.14,-458.1,13.97,-18.76,12041.0
15,600579,天华院,化工机械,山东,180.15,4.11,4.11,172462.2,129449.3,19148.99,158476.55,3.86,0.025,2.84,3.21,20020809,-85721.06,-2.09,22.99,184.59,15.08,3.75,18257.0
16,603677,奇精机械,机械基件,浙江,36.38,0.55,1.96,154550.72,101587.06,32576.41,49064.05,2.5,0.2,4.62,3.04,20170206,24475.09,1.25,2.43,-19.25,18.35,5.95,6238.0
17,002921,联诚精密,汽车配件,山东,56.26,0.2,0.8,117140.17,60525.73,39340.85,42029.93,5.25,0.33899999999999997,8.4,4.54,20171227,16438.6,2.05,10.49,14.51,24.28,8.42,15483.0
18,002935,天奥电子,元器件,四川,80.2,0.27,1.07,98617.71,93489.7,2732.2,8131.02,0.76,0.255,7.93,5.15,20180903,41890.71,3.93,0.0,0.0,30.68,8.4,52842.0
19,300491,通合科技,电气设备,河北,378.89,0.51,1.45,54536.28,35244.39,16189.77,16913.25,1.17,0.022000000000000002,2.97,5.58,20151231,11004.32,0.76,3.58,150.53,37.78,4.69,17011.0
20,002871,伟隆股份,机械基件,山东,39.42,0.29,1.16,69637.5,46385.75,12396.32,22415.6,1.94,0.263,4.86,4.27,20170511,19184.3,1.66,7.76,5.36,35.62,21.28,12530.0
21,002800,天顺股份,仓储物流,新疆,856.43,0.35,0.75,91037.05,71363.06,4765.25,15270.51,2.04,0.013000000000000001,5.86,3.84,20160530,19092.52,2.56,-36.36,-95.1,8.97,0.29,12538.0
22,601330,绿色动力,环境保护,深圳,74.47,1.16,11.61,784969.25,125932.2,1195.97,85880.34,0.74,0.16,2.37,9.12,20180611,67946.06,0.59,0.0,0.0,60.91,33.53,98090.0
23,300664,鹏鹞环保,环境保护,江苏,35.39,0.8,4.8,486869.5,180049.41,12178.08,128998.05,2.69,0.22,6.19,2.49,20180105,116440.81,2.43,27.4,-13.02,50.83,25.99,44080.0
24,300350,华鹏飞,软件服务,深圳,33.84,2.51,5.31,306660.91,159195.63,25832.14,95635.4,1.8,0.091,3.63,1.7,20120821,39652.28,0.75,6.01,-17.5,31.8,10.43,24924.0
25,002933,新兴装备,航空,北京,71.56,0.29,1.17,87114.06,78663.46,2611.9,10253.41,0.87,0.484,8.9,7.79,20180828,52822.11,4.5,0.0,0.0,71.83,35.03,57623.0
26,002692,睿康股份,电气设备,江苏,38.23,7.15,7.18,323190.5,259816.27,45419.44,14979.42,0.21,0.047,2.12,1.71,20120808,57448.98,0.8,18.8,2.01,18.02,2.43,18146.0
27,000669,金鸿控股,供气供热,吉林,13.57,6.7,6.8,1284163.88,163097.94,652111.94,159855.63,2.35,0.267,6.33,1.15,19961210,191766.86,2.82,25.12,5.39,21.51,8.89,25451.0
28,600903,贵州燃气,供气供热,贵州,74.81,1.22,8.13,815560.81,221920.67,352814.91,51021.3,0.63,0.147,2.87,7.67,20171107,32394.25,0.4,27.41,35.59,20.6,7.26,83866.0
29,002906,华阳集团,汽车配件,广东,217.5,0.73,4.73,446755.5,327544.0,81478.85,87557.61,1.85,0.031,7.17,1.89,20171013,194094.05,4.1,-17.77,-89.16,18.92,0.91,38220.0
30,002848,高斯贝尔,通信设备,湖南,0.0,0.88,1.67,137378.86,99581.57,16021.05,13402.07,0.8,-0.18600000000000003,3.87,2.85,20170213,31340.94,1.88,-27.54,-258.89,14.51,-8.01,27194.0
31,002893,华通热力,供气供热,北京,23.73,0.3,1.2,135929.55,53252.48,40083.98,26070.17,2.17,0.42200000000000004,5.27,3.8,20170915,24203.17,2.02,7.21,-34.36,18.09,8.78,18629.0
32,600146,商赢环球,塑料,宁夏,65.79,2.0,4.7,445459.44,213838.34,9426.42,262525.84,5.59,0.073,6.64,1.44,19990707,3479.62,0.07,54.77,-36.12,34.73,2.46,11774.0
33,002700,新疆浩源,供气供热,新疆,68.08,3.13,4.22,112405.9,64444.81,39279.26,2375.48,0.06,0.075,2.32,4.42,20120921,47121.76,1.12,5.15,-13.01,33.72,18.34,23880.0
34,601225,陕西煤业,煤炭开采,陕西,6.77,100.0,100.0,11462619.0,3362195.25,3064679.5,739440.31,0.74,0.594,4.67,1.72,20140128,2541205.75,2.54,2.57,8.61,54.68,22.65,66228.0
35,300266,兴源环境,环境保护,浙江,24.42,14.53,15.64,1091054.0,792377.0,36712.51,190134.61,1.22,0.081,2.49,1.59,20110927,90673.46,0.58,-0.55,-51.05,21.52,8.13,40000.0
