name,type,value,date
中国天楹,,8.8,2009
中国天楹,,9.8,2010
中国天楹,,15,2011
中国天楹,,18.8,2012
中国天楹,,22.5,2013
中国天楹,,51.5,2014
中国天楹,,102.2,2015
中国天楹,,87.5,2016
中国天楹,,89.9,2017
中国天楹,,83.4,2018
科融环境,,54.7,2010
科融环境,,33.9,2011
科融环境,,21.4,2012
科融环境,,27.6,2013
科融环境,,30,2014
科融环境,,69,2015
科融环境,,56.3,2016
科融环境,,55.3,2017
科融环境,,28.7,2018
天壕环境,,30.5,2012
天壕环境,,38.7,2013
天壕环境,,42.9,2014
天壕环境,,82.6,2015
天壕环境,,73.6,2016
天壕环境,,79.5,2017
天壕环境,,46.7,2018
环能科技,,51,2015
环能科技,,56.5,2016
环能科技,,44.6,2017
环能科技,,34.6,2018
天翔环境,,25.8,2014
天翔环境,,39.4,2015
天翔环境,,82.1,2016
天翔环境,,73.9,2017
天翔环境,,46.8,2018
铁汉生态,,55.4,2011
铁汉生态,,59.4,2012
铁汉生态,,85.7,2013
铁汉生态,,70,2014
铁汉生态,,148.4,2015
铁汉生态,,147.8,2016
铁汉生态,,196,2017
铁汉生态,,143.9,2018
永清环保,,34.5,2011
永清环保,,31.5,2012
永清环保,,45.9,2013
永清环保,,58.4,2014
永清环保,,80.1,2015
永清环保,,92.4,2016
永清环保,,75.1,2017
永清环保,,63.1,2018
清新环境,,59.4,2011
清新环境,,53.4,2012
清新环境,,93.6,2013
清新环境,,109.6,2014
清新环境,,210.3,2015
清新环境,,209.2,2016
清新环境,,215.5,2017
清新环境,,155.1,2018
中原环保,,23.8,2009
中原环保,,31.6,2010
中原环保,,29.5,2011
中原环保,,26.8,2012
中原环保,,31,2013
中原环保,,30.3,2014
中原环保,,47.3,2015
中原环保,,61.7,2016
中原环保,,120.5,2017
中原环保,,81.8,2018
兴源环境,,17.8,2011
兴源环境,,14.3,2012
兴源环境,,16.3,2013
兴源环境,,46.2,2014
兴源环境,,181.2,2015
兴源环境,,200.4,2016
兴源环境,,277.9,2017
兴源环境,,180.9,2018
美尚生态,,43.7,2015
美尚生态,,91.7,2016
美尚生态,,94.8,2017
美尚生态,,83.3,2018
凯美特气,,34.2,2011
凯美特气,,23.5,2012
凯美特气,,34.8,2013
凯美特气,,56,2014
凯美特气,,76,2015
凯美特气,,57.5,2016
凯美特气,,50.2,2017
凯美特气,,36.4,2018
鹏鹞环保,,94.2,2018
启迪桑德,,51.5,2009
启迪桑德,,91.7,2010
启迪桑德,,111.9,2011
启迪桑德,,109.8,2012
启迪桑德,,211.2,2013
启迪桑德,,199.1,2014
启迪桑德,,307.6,2015
启迪桑德,,270.5,2016
启迪桑德,,317.5,2017
启迪桑德,,278.3,2018
岭南股份,,40,2014
岭南股份,,65.3,2015
岭南股份,,126.7,2016
岭南股份,,109.3,2017
岭南股份,,111.7,2018
中电环保,,23.5,2011
中电环保,,18.4,2012
中电环保,,22.7,2013
中电环保,,30.8,2014
中电环保,,54.7,2015
中电环保,,48.5,2016
中电环保,,50.5,2017
中电环保,,34.7,2018
维尔利,,28.1,2011
维尔利,,20.9,2012
维尔利,,27.1,2013
维尔利,,40.2,2014
维尔利,,89.1,2015
维尔利,,67.4,2016
维尔利,,63.1,2017
维尔利,,48,2018
长青集团,,28.8,2011
长青集团,,21,2012
长青集团,,23.1,2013
长青集团,,29,2014
长青集团,,83.3,2015
长青集团,,75.4,2016
长青集团,,83.2,2017
长青集团,,52.3,2018
蒙草生态,,38.7,2012
蒙草生态,,56.9,2013
蒙草生态,,61.8,2014
蒙草生态,,78.7,2015
蒙草生态,,83.4,2016
蒙草生态,,166.8,2017
蒙草生态,,141.9,2018
国祯环保,,35,2014
国祯环保,,77.1,2015
国祯环保,,68.4,2016
国祯环保,,64.4,2017
国祯环保,,62.7,2018
盈峰环境,,15.3,2009
盈峰环境,,20,2010
盈峰环境,,18.1,2011
盈峰环境,,13.6,2012
盈峰环境,,15.2,2013
盈峰环境,,25.8,2014
盈峰环境,,65.3,2015
盈峰环境,,100.3,2016
盈峰环境,,107.8,2017
盈峰环境,,97,2018
博世科,,50.5,2015
博世科,,45.3,2016
博世科,,60.8,2017
博世科,,53.4,2018
万邦达,,108.9,2010
万邦达,,105.6,2011
万邦达,,44.9,2012
万邦达,,72.7,2013
万邦达,,81.2,2014
万邦达,,183.9,2015
万邦达,,146,2016
万邦达,,158.5,2017
万邦达,,127.7,2018
东江环保,,82.6,2012
东江环保,,88.7,2013
东江环保,,98.4,2014
东江环保,,170.1,2015
东江环保,,154.2,2016
东江环保,,150.4,2017
东江环保,,133.2,2018
聚光科技,,76,2011
聚光科技,,65.9,2012
聚光科技,,67,2013
聚光科技,,77.1,2014
聚光科技,,142.4,2015
聚光科技,,125.8,2016
聚光科技,,138.9,2017
聚光科技,,123.1,2018
云投生态,,38.9,2009
云投生态,,42.9,2010
云投生态,,25.5,2011
云投生态,,16.8,2012
云投生态,,21.9,2013
云投生态,,26.2,2014
云投生态,,38.4,2015
云投生态,,39.3,2016
云投生态,,36.5,2017
