name,type,value,date
台湾大学,109,109,2009
南京大学,220,220,2009
台湾成功大学,222,222,2009
台湾清华大学,223,223,2009
北京大学,227,227,2009
上海交通大学,233,233,2009
香港中文大学,239,239,2009
香港科技大学,241,241,2009
香港大学,246,246,2009
清华大学,251,251,2009
中国科学技术大学,286,286,2009
浙江大学,302,302,2009
香港城市大学,309,309,2009
复旦大学,319,319,2009
台湾交通大学,333,333,2009
山东大学,343,343,2009
香港理工大学,351,351,2009
长庚大学,408,408,2009
中国农业大学,410,410,2009
大连理工大学,412,412,2009
台湾大学,108,108,2010
北京大学,167,167,2010
香港中文大学,171,171,2010
清华大学,178,178,2010
复旦大学,210,210,2010
南京大学,220,220,2010
台湾成功大学,222,222,2010
上海交通大学,233,233,2010
香港理工大学,240,240,2010
香港科技大学,241,241,2010
香港大学,244,244,2010
中国科学技术大学,285,285,2010
浙江大学,300,300,2010
香港城市大学,306,306,2010
台湾交通大学,332,332,2010
台湾清华大学,333,333,2010
山东大学,342,342,2010
四川大学,343,343,2010
中山大学,347,347,2010
长庚大学,408,408,2010
台湾大学,112,112,2011
香港中文大学,169,169,2011
清华大学,175,175,2011
复旦大学,209,209,2011
南京大学,217,217,2011
台湾成功大学,220,220,2011
北京大学,224,224,2011
上海交通大学,231,231,2011
香港理工大学,237,237,2011
香港科技大学,238,238,2011
香港大学,242,242,2011
中国科学技术大学,285,285,2011
浙江大学,300,300,2011
中国农业大学,306,306,2011
香港城市大学,307,307,2011
华中科技大学,320,320,2011
台湾交通大学,335,335,2011
台湾清华大学,336,336,2011
山东大学,347,347,2011
四川大学,348,348,2011
台湾大学,113,113,2012
北京大学,163,163,2012
上海交通大学,164,164,2012
香港中文大学,167,167,2012
香港大学,170,170,2012
清华大学,173,173,2012
浙江大学,200,200,2012
香港城市大学,204,204,2012
复旦大学,211,211,2012
南京大学,220,220,2012
台湾成功大学,222,222,2012
台湾清华大学,223,223,2012
香港理工大学,240,240,2012
香港科技大学,241,241,2012
中国科学技术大学,289,289,2012
长庚大学,307,307,2012
中国农业大学,308,308,2012
华中科技大学,322,322,2012
吉林大学,328,328,2012
台湾交通大学,339,339,2012
台湾大学,113,113,2013
复旦大学,157,157,2013
北京大学,166,166,2013
上海交通大学,167,167,2013
香港中文大学,170,170,2013
清华大学,173,173,2013
浙江大学,200,200,2013
南京大学,220,220,2013
台湾清华大学,222,222,2013
中山大学,235,235,2013
香港科技大学,240,240,2013
香港大学,247,247,2013
中国科学技术大学,290,290,2013
北京师范大学,303,303,2013
长庚大学,307,307,2013
中国农业大学,308,308,2013
香港城市大学,309,309,2013
哈尔滨工业大学,320,320,2013
华中科技大学,322,322,2013
吉林大学,327,327,2013
台湾大学,117,117,2014
北京大学,119,119,2014
上海交通大学,122,122,2014
清华大学,129,129,2014
复旦大学,152,152,2014
香港中文大学,164,164,2014
香港大学,168,168,2014
中国科学技术大学,192,192,2014
浙江大学,200,200,2014
北京师范大学,203,203,2014
香港城市大学,205,205,2014
哈尔滨工业大学,214,214,2014
华中科技大学,215,215,2014
南京大学,225,225,2014
台湾成功大学,227,227,2014
台湾清华大学,228,228,2014
中山大学,242,242,2014
香港科技大学,246,246,2014
西安交通大学,298,298,2014
北京航空航天大学,301,301,2014
北京大学,115,115,2015
上海交通大学,118,118,2015
清华大学,126,126,2015
浙江大学,150,150,2015
复旦大学,154,154,2015
台湾大学,162,162,2015
中山大学,168,168,2015
香港中文大学,170,170,2015
香港大学,173,173,2015
中国科学技术大学,193,193,2015
北京师范大学,203,203,2015
香港城市大学,206,206,2015
哈尔滨工业大学,218,218,2015
华中科技大学,219,219,2015
吉林大学,221,221,2015
南京大学,232,232,2015
台湾清华大学,234,234,2015
香港科技大学,247,247,2015
西安交通大学,298,298,2015
北京航空航天大学,302,302,2015
清华大学,58,58,2016
北京大学,71,71,2016
复旦大学,108,108,2016
上海交通大学,119,119,2016
香港大学,122,122,2016
中国科学技术大学,143,143,2016
浙江大学,150,150,2016
中国医药大学(台湾),152,152,2016
哈尔滨工业大学,154,154,2016
台湾大学,161,161,2016
中山大学,166,166,2016
西安交通大学,200,200,2016
北京师范大学,203,203,2016
香港城市大学,207,207,2016
华中科技大学,218,218,2016
吉林大学,222,222,2016
南京大学,233,233,2016
四川大学,242,242,2016
苏州大学,243,243,2016
华南理工大学,244,244,2016
清华大学,49,49,2017
北京大学,72,72,2017
复旦大学,108,108,2017
上海交通大学,120,120,2017
香港大学,125,125,2017
中国科学技术大学,141,141,2017
浙江大学,150,150,2017
中国医药大学,151,151,2017
哈尔滨工业大学,154,154,2017
台湾大学,158,158,2017
四川大学,162,162,2017
中山大学,163,163,2017
香港中文大学,166,166,2017
北京师范大学,202,202,2017
香港城市大学,205,205,2017
华中科技大学,217,217,2017
南京大学,230,230,2017
苏州大学,242,242,2017
华南理工大学,243,243,2017
东南大学,244,244,2017
清华大学,45,45,2018
北京大学,57,57,2018
浙江大学,67,67,2018
复旦大学,108,108,2018
上海交通大学,120,120,2018
中山大学,121,121,2018
香港大学,123,123,2018
中国科学技术大学,142,142,2018
哈尔滨工业大学,154,154,2018
华中科技大学,156,156,2018
南京大学,159,159,2018
台湾大学,160,160,2018
四川大学,165,165,2018
香港中文大学,170,170,2018
西安交通大学,200,200,2018
北京航空航天大学,202,202,2018
北京师范大学,203,203,2018
中南大学,205,205,2018
中国医药大学,208,208,2018
香港城市大学,209,209,2018
