name,type,value,date
南京大学,220,220,2009
北京大学,227,227,2009
上海交通大学,233,233,2009
清华大学,251,251,2009
中国科学技术大学,286,286,2009
浙江大学,302,302,2009
复旦大学,319,319,2009
山东大学,343,343,2009
中国农业大学,410,410,2009
大连理工大学,412,412,2009
哈尔滨工业大学,421,421,2009
华中科技大学,422,422,2009
吉林大学,426,426,2009
兰州大学,432,432,2009
南开大学,440,440,2009
四川大学,452,452,2009
中山大学,455,455,2009
天津大学,458,458,2009
北京大学,167,167,2010
清华大学,178,178,2010
复旦大学,210,210,2010
南京大学,220,220,2010
上海交通大学,233,233,2010
中国科学技术大学,285,285,2010
浙江大学,300,300,2010
山东大学,342,342,2010
四川大学,343,343,2010
中山大学,347,347,2010
中国农业大学,410,410,2010
大连理工大学,413,413,2010
哈尔滨工业大学,420,420,2010
华中科技大学,421,421,2010
吉林大学,425,425,2010
兰州大学,431,431,2010
南开大学,437,437,2010
东南大学,448,448,2010
天津大学,454,454,2010
武汉大学,496,496,2010
清华大学,175,175,2011
复旦大学,209,209,2011
南京大学,217,217,2011
北京大学,224,224,2011
上海交通大学,231,231,2011
中国科学技术大学,285,285,2011
浙江大学,300,300,2011
中国农业大学,306,306,2011
华中科技大学,320,320,2011
山东大学,347,347,2011
四川大学,348,348,2011
中山大学,352,352,2011
北京师范大学,402,402,2011
北京航空航天大学,403,403,2011
大连理工大学,413,413,2011
哈尔滨工业大学,420,420,2011
吉林大学,421,421,2011
兰州大学,426,426,2011
南开大学,435,435,2011
东南大学,443,443,2011
北京大学,163,163,2012
上海交通大学,164,164,2012
清华大学,173,173,2012
浙江大学,200,200,2012
复旦大学,211,211,2012
南京大学,220,220,2012
中国科学技术大学,289,289,2012
中国农业大学,308,308,2012
华中科技大学,322,322,2012
吉林大学,328,328,2012
山东大学,348,348,2012
四川大学,349,349,2012
中山大学,353,353,2012
西安交通大学,400,400,2012
北京航空航天大学,402,402,2012
北京师范大学,403,403,2012
中南大学,409,409,2012
大连理工大学,413,413,2012
哈尔滨工业大学,416,416,2012
兰州大学,422,422,2012
复旦大学,157,157,2013
北京大学,166,166,2013
上海交通大学,167,167,2013
清华大学,173,173,2013
浙江大学,200,200,2013
南京大学,220,220,2013
中山大学,235,235,2013
中国科学技术大学,290,290,2013
北京师范大学,303,303,2013
中国农业大学,308,308,2013
哈尔滨工业大学,320,320,2013
华中科技大学,322,322,2013
吉林大学,327,327,2013
山东大学,347,347,2013
四川大学,348,348,2013
西安交通大学,400,400,2013
北京航空航天大学,402,402,2013
中南大学,409,409,2013
大连理工大学,413,413,2013
兰州大学,426,426,2013
北京大学,119,119,2014
上海交通大学,122,122,2014
清华大学,129,129,2014
复旦大学,152,152,2014
中国科学技术大学,192,192,2014
浙江大学,200,200,2014
北京师范大学,203,203,2014
哈尔滨工业大学,214,214,2014
华中科技大学,215,215,2014
南京大学,225,225,2014
中山大学,242,242,2014
西安交通大学,298,298,2014
北京航空航天大学,301,301,2014
中南大学,304,304,2014
中国农业大学,307,307,2014
大连理工大学,311,311,2014
吉林大学,330,330,2014
兰州大学,334,334,2014
南开大学,337,337,2014
山东大学,346,346,2014
北京大学,115,115,2015
上海交通大学,118,118,2015
清华大学,126,126,2015
浙江大学,150,150,2015
复旦大学,154,154,2015
中山大学,168,168,2015
中国科学技术大学,193,193,2015
北京师范大学,203,203,2015
哈尔滨工业大学,218,218,2015
华中科技大学,219,219,2015
吉林大学,221,221,2015
南京大学,232,232,2015
西安交通大学,298,298,2015
北京航空航天大学,302,302,2015
中南大学,304,304,2015
中国农业大学,307,307,2015
大连理工大学,310,310,2015
兰州大学,330,330,2015
南开大学,333,333,2015
山东大学,345,345,2015
清华大学,58,58,2016
北京大学,71,71,2016
复旦大学,108,108,2016
上海交通大学,119,119,2016
中国科学技术大学,143,143,2016
浙江大学,150,150,2016
哈尔滨工业大学,154,154,2016
中山大学,166,166,2016
西安交通大学,200,200,2016
北京师范大学,203,203,2016
华中科技大学,218,218,2016
吉林大学,222,222,2016
南京大学,233,233,2016
四川大学,242,242,2016
苏州大学,243,243,2016
华南理工大学,244,244,2016
东南大学,245,245,2016
厦门大学,298,298,2016
北京航空航天大学,302,302,2016
中南大学,305,305,2016
清华大学,49,49,2017
北京大学,72,72,2017
复旦大学,108,108,2017
上海交通大学,120,120,2017
中国科学技术大学,141,141,2017
浙江大学,150,150,2017
哈尔滨工业大学,154,154,2017
四川大学,162,162,2017
中山大学,163,163,2017
北京师范大学,202,202,2017
华中科技大学,217,217,2017
南京大学,230,230,2017
苏州大学,242,242,2017
华南理工大学,243,243,2017
东南大学,244,244,2017
电子科技大学,266,266,2017
武汉大学,297,297,2017
西安交通大学,298,298,2017
北京航空航天大学,303,303,2017
首都医科大学,307,307,2017
清华大学,45,45,2018
北京大学,57,57,2018
浙江大学,67,67,2018
复旦大学,108,108,2018
上海交通大学,120,120,2018
中山大学,121,121,2018
中国科学技术大学,142,142,2018
哈尔滨工业大学,154,154,2018
华中科技大学,156,156,2018
南京大学,159,159,2018
四川大学,165,165,2018
西安交通大学,200,200,2018
北京航空航天大学,202,202,2018
北京师范大学,203,203,2018
中南大学,205,205,2018
大连理工大学,213,213,2018
吉林大学,223,223,2018
苏州大学,244,244,2018
华南理工大学,245,245,2018
东南大学,246,246,2018
