name_cn,name
原子弹,A-Bomb
天使,Archangel
海妖,Banshee
野兽,Beast
主教,Bishop
甲虫（I）,Beetle
黑蝠王,Black Bolt
锁齿狗,Lockjaw
冰雪暴,Blizzard
托罗,Toro
黑猫,Black Cat
地狱猫,Hellcat
黑豹 (II),Black Panther
黑骑士 (III),Black Knight
黑寡妇,Black Widow
刀锋战士,Blade
冬日战士,Winter Soldier
电索,Cable
美国队长,Captain America
英国队长（不列颠队长）,Captain Britain
钢人,Colossus
镭射眼,Cyclops
星爵,Star-Lord
"“""毁灭者”德拉克斯",Drax the Destroyer
亚当术士,Adam Warlock
伊格瑞斯,Ikaris
夜魔侠,Daredevil
死侍,Deadpool
奇异博士,Doctor Strange
幻影杀手,Elektra
艾玛·佛斯特,Emma Frost
猎鹰,Falcon
夜鹰,Nighthawk
洛克希德,Lockheed
牌王,Gambit
恶灵骑士 (II),Ghost Rider
恶灵骑士 (III),Ghost Rider
蚁人,Ant-Man
冲击波,Havok
战迹,Warpath
墨纹,Ink
冲蚀,Washout
鹰眼,Hawkeye
巴尼·巴顿,Barney Barton
大力士,Hercules
绿巨人,Hulk
霹雳火 (II),Human Torch
黑子,Sunspot
阳炎,Sunfire
冰人,Iceman
隐形女侠,Invisible Woman
水晶,Crystal
铁拳侠,Iron Fist
钢铁侠,Iron Man
士卫兵,Guardsman
马伦,Mallen
欢欢,Jubilee
水蛭人 (漫威),Leech
秘客,Magik
千面人 (漫威),Morph
神奇先生,Mister Fantastic
月光骑士,Moon Knight
惊奇队长,Captain Marvel
仿声鸟,Mockingbird
夜行者,Nightcrawler
尼克·弗瑞,Nick Fury
琴·葛雷,Jean Grey
终极哨兵机器人,Omega Sentinel
北极星,Polaris
北极星,Northstar
力量人,Power Man
X教授,Professor X
灵蝶,Psylocke
惩罚者,Punisher
快银,Quicksilver
红绿巨人,Red Hulk
小淘气,Rogue
幻影猫,Shadowcat
红女巫,Scarlet Witch
哨兵,Sentry
女绿巨人,She-Hulk
苏睿,Shuri
希芙,Sif
银影侠,Silver Surfer
歌姬,Songbird
蜘蛛侠,Spider-Man
蜘蛛女侠,Spider-Woman
暴风女,Storm
剑客,Swordsman
石头人,Thing
雷神索尔,Thor
贝塔·雷·比尔,Beta Ray Bill
仙宫三战士,Warriors Three
类星体,Quasar
火焰领主,Firelord
新星,Nova
超新星,Supernova
供能者,Powerhouse
虎女郎,Tigra
英国杰克,Union Jack
毒液 (IV),Venom
幻视,Vision
神力超人,Wonder Man
战争机器,War Machine
黄蜂女 (I),Wasp
金刚狼,Wolverine
X-23*,X-23
